4
194
0.90	0.80	0	0	0.00
0.10	0.11	96	0	0.75
0.00	0.00	92	0	0.91
0.01	0.02	50	0	1.09
0.02	0.02	224	0	0.70
0.30	0.00	143	0	0.70
0.01	0.00	125	0	0.60
0.01	0.00	67	0	0.73
0.08	0.00	0	0	0.99
0.33	0.30	67	90	0.74
0.25	0.29	30	175	0.40
0.12	0.05	72	0	0.72
0.00	0.12	0	0	0.21
0.76	0.70	0	70	0.13
0.12	0.10	0	31	0.50
0.00	0.04	0	0	0.94
0.40	0.43	0	185	0.53
0.01	0.07	117	0	0.40
0.15	0.13	0	31	1.00
0.01	0.00	130	0	0.78
0.01	0.00	83	0	0.96
0.01	0.00	67	0	0.79
0.01	0.00	75	0	0.49
0.36	0.36	67	155	0.41
0.32	0.35	0	232	0.49
0.30	0.32	0	150	0.57
0.27	0.11	0	0	0.01
0.60	0.60	0	230	0.00
0.12	0.26	0	0	0.05
0.75	0.50	0	174	0.00
0.80	0.75	0	115	0.00
0.90	0.85	0	275	0.05
0.00	0.17	195	0	0.00
0.32	0.50	85	130	0.00
0.68	0.46	0	100	0.00
0.75	0.54	15	130	0.00
0.30	0.25	0	145	0.41
0.35	0.40	0	270	0.47
0.20	0.20	0	110	0.28
0.33	0.37	0	195	0.24
0.33	0.30	0	220	0.24
0.33	0.40	55		0.01
0.50	0.70	0	140	0.00
0.28	0.28	16	163	0.19
0.50	0.50	25	225	0.29
0.37	0.30	0	0	0.06
0.07	0.00	0	0	0.73
0.06	0.00	0	0	0.39
0.80	0.30	67	164	1.50
0.60	0.55	0	141	0.00
0.33	0.33	25	145	0.30
0.60	0.65	0	333	0.07
0.50	0.60	0	320	0.31
0.01	0.00	0	0	0.15
0.33	0.33	42	200	0.19
0.15	0.00	0	0	0.09
0.50	0.30	0	16	0.23
0.00	0.10	0	0	0.40
0.20	0.00	0	0	0.59
0.01	0.00	133	0	0.46
0.01	0.00	92	0	0.80
0.15	0.11	137	0	0.54
0.01	0.00	185	0	0.30
0.33	0.25	70	31	0.37
0.60	0.60	0	253	0.21
0.60	0.45	0	0	0.50
0.01	0.22	43	75	0.52
0.05	0.00	117	0	0.35
0.00	0.00	0	0	0.26
0.03	0.10	0	0	0.22
0.20	0.20	50	27	0.17
0.00	0.00	25	0	0.54
0.02	0.00	50	0	0.21
0.00	0.00	0	0	0.86
0.35	0.35	42	167	0.50
0.90	0.78	0	75	0.00
1.00	0.89	0	211	0.00
0.90	0.77	50	30	0.00
0.01	0.00	150	0	0.48
0.00	0.00	0	0	0.81
0.03	0.11	183	0	0.70
0.01	0.00	92	0	0.95
0.20	0.29	42	161	0.68
0.00	0.20	52	0	0.00
0.00	0.17	117	0	0.44
0.22	0.35	13	215	0.21
0.00	0.00	77	0	0.38
0.01	0.00	0	0	0.56
0.12	0.07	80	0	0.46
0.93	0.77	0	161	0.00
1.00	0.92	0	128	0.00
1.00	0.82	0	129	0.00
1.00	0.64	0	132	0.00
0.50	0.30	0	0	0.00
0.00	0.30	12	242	0.66
0.01	0.00	89	0	0.65
0.00	0.00	131	0	0.70
0.90	0.80	0	100	0.00
0.01	0.00	102	0	0.74
0.15	0.35	60	178	0.58
0.00	0.00	50	0	1.29
0.01	0.30	52	50	0.45
0.00	0.26	50	0	0.50
0.00	0.00	0	75	0.29
0.01	0.37	70	112	0.23
0.00	0.15	0	0	0.40
0.00	0.10	0	0	0.33
0.01	0.28	25	200	0.51
0.01	0.10	150	0	0.00
0.00	0.05	0	0	0.79
0.02	0.00	0	0	0.26
0.45	0.40	117	150	0.11
0.01	0.00	92	0	0.54
0.33	0.25	67	142	0.37
0.00	0.00	0	0	0.72
0.01	0.25	42	200	0.39
0.00	0.00	0	0	0.06
0.18	0.23	0	70	0.26
0.01	0.00	92	0	0.34
0.01	0.00	92	0	0.73
0.05	0.00	93	0	0.46
0.00	0.00	0	0	0.60
0.02	0.22	75	220	0.60
0.00	0.00	0	0	0.21
0.00	0.00	0	0	0.68
0.01	0.00	129	0	0.46
0.00	0.00	0	0	0.67
